Disease,Diet
AIDS,High-Protein Diet
AIDS,Vitamin-rich Foods
AIDS,Omega-3 Fatty Acids
AIDS,Antioxidant Foods
AIDS,Hydration
ALS (Amyotrophic Lateral Sclerosis),Soft Foods
ALS (Amyotrophic Lateral Sclerosis),High-Calorie Diet
ALS (Amyotrophic Lateral Sclerosis),Omega-3 Fatty Acids
ALS (Amyotrophic Lateral Sclerosis),B Vitamins
ALS (Amyotrophic Lateral Sclerosis),Hydration
Acne,Low-Glycemic Diet
Acne,Zinc-Rich Foods
Acne,Probiotic Foods
Acne,Vitamin A & E
Acne,Hydrating Foods
Achalasia ,Soft Diet
Achalasia ,Small Frequent Meals
Achalasia ,Avoid Acidic Foods
Achalasia ,Hydration
Achalasia ,Fiber-Rich Foods
Acute Bronchitis,Warm Fluids
Acute Bronchitis,Vitamin C Foods
Acute Bronchitis,Honey & Ginger
Acute Bronchitis,Anti-Inflammatory Diet
Acute Bronchitis,Hydration
Addison's Disease,Sodium-Rich Foods
Addison's Disease,Balanced Electrolytes
Addison's Disease,Lean Proteins
Addison's Disease,Whole Grains
Addison's Disease,Vitamin B & C Foods
Alcoholic hepatitis,Liver Detox Diet
Alcoholic hepatitis,Low-Fat Foods
Alcoholic hepatitis,Protein-Rich Meals
Alcoholic hepatitis,Hydrating Drinks
Alcoholic hepatitis,Antioxidant Foods
Allergy,Anti-Inflammatory Diet
Allergy,Vitamin C & D
Allergy,Quercetin-Rich Foods
Allergy,Omega-3 Fatty Acids
Allergy,Probiotics
Alzheimer's Disease,Mediterranean Diet
Alzheimer's Disease,Leafy Greens
Alzheimer's Disease,Berries & Nuts
Alzheimer's Disease,Fatty Fish
Alzheimer's Disease,Whole Grains
Amebiasis,Hydration Therapy
Amebiasis,Electrolyte-Rich Foods
Amebiasis,Bananas & Rice
Amebiasis,Lean Proteins
Amebiasis,Probiotic Yogurt
Anemia,Iron-Rich Foods
Anemia,Leafy Greens
Anemia,Vitamin C for Iron Absorption
Anemia,Lean Red Meat
Anemia,Lentils & Beans
Aneurysm,Heart-Healthy Diet
Aneurysm,Omega-3 Fatty Acids
Aneurysm,Low-Sodium Meals
Aneurysm,Fruits & Vegetables
Aneurysm,Whole Grains
Anthrax,Immune-Boosting Diet
Anthrax,Hydrating Fluids
Anthrax,Vitamin C & Zinc
Anthrax,Lean Proteins
Anthrax,Anti-Inflammatory Foods
Aplastic Anemia,Folate-Rich Foods
Aplastic Anemia,Iron-Rich Meals
Aplastic Anemia,Vitamin B12
Aplastic Anemia,Probiotics
Aplastic Anemia,Hydration
Appendicitis,Liquid Diet
Appendicitis,Soft Fiber Foods
Appendicitis,Avoid Spicy Foods
Appendicitis,Hydration Therapy
Appendicitis,Lean Proteins
Arthritis,Anti-Inflammatory Diet
Arthritis,Omega-3 Fatty Acids
Arthritis,Turmeric & Ginger
Arthritis,Whole Grains
Arthritis,Leafy Greens
Aspergillosis,Immune-Boosting Diet
Aspergillosis,Antifungal Foods
Aspergillosis,Probiotics
Aspergillosis,Vitamin D & C
Aspergillosis,Omega-3 Fatty Acids
Asthma,Anti-Inflammatory Diet
Asthma,Vitamin D & E
Asthma,Magnesium-Rich Foods
Asthma,Fatty Fish
Asthma,Hydrating Fluids
Arrhythmia,Heart-Healthy Diet
Arrhythmia,Potassium & Magnesium-Rich Foods
Arrhythmia,Low-Sodium Meals
Arrhythmia,Omega-3 Fatty Acids
Arrhythmia,Leafy Greens
Avian Influenza,Immune-Boosting Diet
Avian Influenza,Vitamin C & Zinc
Avian Influenza,Warm Fluids
Avian Influenza,Antiviral Foods
Avian Influenza,Hydration
Babesiosis,Iron-Rich Foods
Babesiosis,Antioxidant-Rich Diet
Babesiosis,Probiotics
Babesiosis,Electrolyte Drinks
Babesiosis,Lean Proteins
Bacterial Meningitis,Anti-Inflammatory Diet
Bacterial Meningitis,Immune-Boosting Foods
Bacterial Meningitis,Hydration Therapy
Bacterial Meningitis,Omega-3 Fatty Acids
Bacterial Meningitis,Probiotics
Bartonellosis,Immune-Boosting Diet
Bartonellosis,Hydrating Fluids
Bartonellosis,Probiotics
Bartonellosis,Lean Proteins
Bartonellosis,Vitamin C-Rich Foods
Barrett Esophagus,Low-Acid Diet
Barrett Esophagus,Fiber-Rich Foods
Barrett Esophagus,Hydrating Drinks
Barrett Esophagus,Probiotic Yogurt
Barrett Esophagus,Lean Proteins
Bell's Palsy,Vitamin B12-Rich Foods
Bell's Palsy,Omega-3 Fatty Acids
Bell's Palsy,Magnesium & Zinc
Bell's Palsy,Antioxidant Foods
Bell's Palsy,Probiotics
Benign Paroxysmal Positional Vertigo (BPPV),Hydrating Foods
Benign Paroxysmal Positional Vertigo (BPPV),Electrolyte Drinks
Benign Paroxysmal Positional Vertigo (BPPV),Vitamin D & Magnesium
Benign Paroxysmal Positional Vertigo (BPPV),Low-Sodium Meals
Benign Paroxysmal Positional Vertigo (BPPV),Omega-3 Fatty Acids
Bipolar Disorder,Omega-3 Fatty Acids
Bipolar Disorder,Magnesium-Rich Foods
Bipolar Disorder,Probiotics
Bipolar Disorder,Whole Grains
Bipolar Disorder,Balanced Diet
Bladder Cancer,Antioxidant-Rich Foods
Bladder Cancer,Cranberry Juice
Bladder Cancer,Hydrating Fluids
Bladder Cancer,Leafy Greens
Bladder Cancer,Low-Sodium Meals
Blastomycosis,Immune-Boosting Diet
Blastomycosis,Antifungal Foods
Blastomycosis,Probiotics
Blastomycosis,Vitamin D & C
Blastomycosis,Hydration Therapy
Brain Tumor,Ketogenic Diet
Brain Tumor,Antioxidant Foods
Brain Tumor,Omega-3 Fatty Acids
Brain Tumor,Vitamin D & Magnesium
Brain Tumor,Hydration
Breast Cancer,Antioxidant-Rich Diet
Breast Cancer,Low-Fat Diet
Breast Cancer,Cruciferous Vegetables
Breast Cancer,Soy-Based Foods
Breast Cancer,Whole Grains
Bronchial Asthma,Anti-Inflammatory Diet
Bronchial Asthma,Vitamin C & D
Bronchial Asthma,Magnesium-Rich Foods
Bronchial Asthma,Fatty Fish
Bronchial Asthma,Hydrating Fluids
Bronchiectasis,Vitamin D & C
Bronchiectasis,Hydration Therapy
Bronchiectasis,Anti-Inflammatory Foods
Bronchiectasis,Omega-3 Fatty Acids
Bronchiectasis,Probiotics
Bronchitis,Warm Fluids
Bronchitis,Vitamin C Foods
Bronchitis,Honey & Ginger
Bronchitis,Anti-Inflammatory Diet
Bronchitis,Hydration
Brucellosis,Immune-Boosting Diet
Brucellosis,Vitamin C & Zinc
Brucellosis,Probiotics
Brucellosis,Lean Proteins
Brucellosis,Hydration Therapy
COVID-19,Immune-Boosting Diet
COVID-19,Vitamin C & Zinc
COVID-19,Hydration Therapy
COVID-19,Probiotics
COVID-19,Antioxidant Foods
Campylobacteriosis,Gut-Healing Diet
Campylobacteriosis,Electrolyte Drinks
Campylobacteriosis,Bananas & Rice
Campylobacteriosis,Lean Proteins
Campylobacteriosis,Probiotic Yogurt
Cataracts,Vitamin A & C-Rich Foods
Cataracts,Leafy Greens
Cataracts,Omega-3 Fatty Acids
Cataracts,Hydrating Fluids
Cataracts,Antioxidant Foods
Celiac Disease,Gluten-Free Diet
Celiac Disease,High-Fiber Foods
Celiac Disease,Probiotic Yogurt
Celiac Disease,Leafy Greens
Celiac Disease,Omega-3 Fatty Acids
Cervical Cancer,Antioxidant-Rich Diet
Cervical Cancer,Cruciferous Vegetables
Cervical Cancer,Vitamin C & E
Cervical Cancer,Leafy Greens
Cervical Cancer,Whole Grains
Cervical spondylosis,Calcium & Vitamin D-Rich Foods
Cervical spondylosis,Anti-Inflammatory Diet
Cervical spondylosis,Omega-3 Fatty Acids
Cervical spondylosis,Hydrating Fluids
Cervical spondylosis,Magnesium Foods
Chikungunya,Hydrating Foods
Chikungunya,Anti-Inflammatory Diet
Chikungunya,Vitamin C & Zinc
Chikungunya,Electrolyte Drinks
Chikungunya,Probiotics
Chicken pox,Vitamin C & Zinc-Rich Foods
Chicken pox,Antiviral Diet
Chicken pox,Probiotics
Chicken pox,Hydration Therapy
Chicken pox,Antioxidants
Chlamydia,Immune-Boosting Diet
Chlamydia,Vitamin C & Zinc
Chlamydia,Hydration Therapy
Chlamydia,Probiotics
Chlamydia,Antioxidant Foods
Cholera,Hydration Therapy
Cholera,Electrolyte Drinks
Cholera,Bananas & Rice
Cholera,Lean Proteins
Cholera,Probiotic Yogurt
Chronic Fatigue Syndrome,Iron-Rich Diet
Chronic Fatigue Syndrome,Omega-3 Fatty Acids
Chronic Fatigue Syndrome,Probiotics
Chronic Fatigue Syndrome,Vitamin B12 & Magnesium
Chronic Fatigue Syndrome,Hydration
Chronic Kidney Disease,Low-Protein Diet
Chronic Kidney Disease,Low-Potassium Foods
Chronic Kidney Disease,Hydrating Fluids
Chronic Kidney Disease,Calcium & Vitamin D
Chronic Kidney Disease,Whole Grains
Chronic Sinusitis,Vitamin C & D-Rich Foods
Chronic Sinusitis,Hydrating Fluids
Chronic Sinusitis,Anti-Inflammatory Diet
Chronic Sinusitis,Probiotics
Chronic Sinusitis,Omega-3 Fatty Acids
Chronic cholestasis,Liver Detox Diet
Chronic cholestasis,Hydrating Drinks
Chronic cholestasis,High-Fiber Foods
Chronic cholestasis,Low-Fat Diet
Chronic cholestasis,Vitamin K-Rich Foods
Coccidioidomycosis,Immune-Boosting Diet
Coccidioidomycosis,Vitamin C & Zinc
Coccidioidomycosis,Probiotic Yogurt
Coccidioidomycosis,Hydration Therapy
Coccidioidomycosis,Leafy Greens
Colon Cancer,High-Fiber Diet
Colon Cancer,Cruciferous Vegetables
Colon Cancer,Antioxidant-Rich Foods
Colon Cancer,Whole Grains
Colon Cancer,Omega-3 Fatty Acids
Common Cold,Vitamin C & Zinc-Rich Foods
Common Cold,Warm Fluids
Common Cold,Honey & Ginger
Common Cold,Probiotics
Common Cold,Hydrating Foods
Crohn's Disease,Low-Fiber Diet
Crohn's Disease,Omega-3 Fatty Acids
Crohn's Disease,Probiotic Foods
Crohn's Disease,Hydration Therapy
Crohn's Disease,Anti-Inflammatory Diet
Cryptococcosis,Immune-Boosting Diet
Cryptococcosis,Antifungal Foods
Cryptococcosis,Vitamin D & C
Cryptococcosis,Probiotics
Cryptococcosis,Hydration Therapy
Cushing's Syndrome,Low-Sodium Diet
Cushing's Syndrome,Calcium & Vitamin D
Cushing's Syndrome,Lean Proteins
Cushing's Syndrome,High-Fiber Foods
Cushing's Syndrome,Whole Grains
Cystic Fibrosis,High-Calorie Diet
Cystic Fibrosis,Healthy Fats
Cystic Fibrosis,Protein-Rich Foods
Cystic Fibrosis,"Vitamin A, D, E, K"
Cystic Fibrosis,Hydrating Foods
Deep Vein Thrombosis (DVT),Heart-Healthy Diet
Deep Vein Thrombosis (DVT),Omega-3 Fatty Acids
Deep Vein Thrombosis (DVT),Low-Sodium Foods
Deep Vein Thrombosis (DVT),Leafy Greens
Deep Vein Thrombosis (DVT),Whole Grains
Dengue Fever,Hydration Therapy
Dengue Fever,Electrolyte Drinks
Dengue Fever,Vitamin C & Zinc
Dengue Fever,Papaya Leaf Extract
Dengue Fever,Lean Proteins
Dermatitis,Skin-Healthy Diet
Dermatitis,Omega-3 Fatty Acids
Dermatitis,Probiotics
Dermatitis,Vitamin A & E-Rich Foods
Dermatitis,Hydrating Fluids
Diabetes,Low-Glycemic Diet
Diabetes,Whole Grains
Diabetes,Lean Proteins
Diabetes,Healthy Fats
Diabetes,High-Fiber Foods
Dimorphic hemmorhoids(piles),High-Fiber Diet
Dimorphic hemmorhoids(piles),Hydration Therapy
Dimorphic hemmorhoids(piles),Leafy Greens
Dimorphic hemmorhoids(piles),Whole Grains
Dimorphic hemmorhoids(piles),Anti-Inflammatory Foods
Diphtheria,Soft Foods
Diphtheria,Vitamin C & Zinc
Diphtheria,Hydrating Fluids
Diphtheria,Immune-Boosting Diet
Diphtheria,Antioxidant-Rich Foods
Diverticulitis,Low-Fiber Diet (during flare-ups)
Diverticulitis,Hydration Therapy
Diverticulitis,Probiotics
Diverticulitis,"Soft, Cooked Vegetables"
Diverticulitis,Lean Proteins
Drug Reaction,Detox Diet
Drug Reaction,Hydration Therapy
Drug Reaction,Antioxidant Foods
Drug Reaction,Vitamin C & Zinc
Drug Reaction,Probiotic Yogurt
E. Coli Infection,Hydration Therapy
E. Coli Infection,Probiotic Yogurt
E. Coli Infection,Electrolyte Drinks
E. Coli Infection,Lean Proteins
E. Coli Infection,Bananas & Rice
Ebola,Immune-Boosting Diet
Ebola,Hydration Therapy
Ebola,Antioxidant Foods
Ebola,Vitamin C & Zinc
Ebola,High-Calorie Diet
Eczema,Omega-3 Fatty Acids
Eczema,Probiotic-Rich Foods
Eczema,Vitamin A & E
Eczema,Hydration Therapy
Eczema,Antioxidant Foods
Ehlers-Danlos Syndrome,Collagen-Boosting Foods
Ehlers-Danlos Syndrome,Vitamin C & Zinc
Ehlers-Danlos Syndrome,Protein-Rich Diet
Ehlers-Danlos Syndrome,Hydrating Fluids
Ehlers-Danlos Syndrome,Magnesium Foods
Endometriosis,Anti-Inflammatory Diet
Endometriosis,Omega-3 Fatty Acids
Endometriosis,Leafy Greens
Endometriosis,Probiotic Foods
Endometriosis,Whole Grains
Epilepsy,Ketogenic Diet
Epilepsy,Magnesium-Rich Foods
Epilepsy,Omega-3 Fatty Acids
Epilepsy,Leafy Greens
Epilepsy,Vitamin B6 Foods
Erectile Dysfunction,Heart-Healthy Diet
Erectile Dysfunction,Nitric Oxide-Boosting Foods
Erectile Dysfunction,Omega-3 Fatty Acids
Erectile Dysfunction,Leafy Greens
Erectile Dysfunction,Dark Chocolate
Esophageal Cancer,Soft Foods
Esophageal Cancer,Hydration Therapy
Esophageal Cancer,High-Protein Diet
Esophageal Cancer,Omega-3 Fatty Acids
Esophageal Cancer,Probiotic Foods
Fatty Liver Disease,Low-Carb Diet
Fatty Liver Disease,Healthy Fats
Fatty Liver Disease,Leafy Greens
Fatty Liver Disease,Omega-3 Fatty Acids
Fatty Liver Disease,Antioxidant Foods
Fibromyalgia,Anti-Inflammatory Diet
Fibromyalgia,Omega-3 Fatty Acids
Fibromyalgia,Magnesium-Rich Foods
Fibromyalgia,Vitamin D & C
Fibromyalgia,Leafy Greens
Filariasis,Immune-Boosting Diet
Filariasis,Vitamin C & Zinc
Filariasis,Hydration Therapy
Filariasis,Probiotics
Filariasis,Anti-Inflammatory Foods
Fungal Infection,Antifungal Diet
Fungal Infection,Probiotics
Fungal Infection,Garlic & Ginger
Fungal Infection,Omega-3 Fatty Acids
Fungal Infection,Vitamin C & Zinc
GERD,Low-Acid Diet
GERD,High-Fiber Foods
GERD,Hydrating Fluids
GERD,Probiotics
GERD,Lean Proteins
Gallbladder Disease,Low-Fat Diet
Gallbladder Disease,Hydrating Drinks
Gallbladder Disease,Fiber-Rich Foods
Gallbladder Disease,Leafy Greens
Gallbladder Disease,Omega-3 Fatty Acids
Gallstones,Low-Fat Diet
Gallstones,High-Fiber Foods
Gallstones,Omega-3 Fatty Acids
Gallstones,Hydrating Fluids
Gallstones,Whole Grains
Gastric Cancer,Soft Foods
Gastric Cancer,Hydration Therapy
Gastric Cancer,Lean Proteins
Gastric Cancer,Probiotic-Rich Foods
Gastric Cancer,Antioxidant Foods
Gastritis,Low-Acid Diet
Gastritis,Hydrating Fluids
Gastritis,Probiotic Foods
Gastritis,Lean Proteins
Gastritis,High-Fiber Foods
Gastroenteritis,Hydration Therapy
Gastroenteritis,Probiotic Yogurt
Gastroenteritis,Electrolyte Drinks
Gastroenteritis,Bananas & Rice
Gastroenteritis,Lean Proteins
Giardiasis,Gut-Healing Diet
Giardiasis,Hydration Therapy
Giardiasis,Probiotic-Rich Foods
Giardiasis,Electrolyte Drinks
Giardiasis,Leafy Greens
Glaucoma,Eye-Healthy Diet
Glaucoma,Leafy Greens
Glaucoma,Omega-3 Fatty Acids
Glaucoma,Hydration Therapy
Glaucoma,Antioxidant Foods
Gonorrhea,Immune-Boosting Diet
Gonorrhea,Vitamin C & Zinc
Gonorrhea,Probiotic Yogurt
Gonorrhea,Omega-3 Fatty Acids
Gonorrhea,Hydrating Fluids
Gout,Low-Purine Diet
Gout,Hydration Therapy
Gout,Leafy Greens
Gout,Whole Grains
Gout,Vitamin C Foods
Graves' Disease,Anti-Inflammatory Diet
Graves' Disease,Omega-3 Fatty Acids
Graves' Disease,Vitamin D & Magnesium
Graves' Disease,Leafy Greens
Graves' Disease,Probiotic Foods
Guillain Barre Syndrome,High-Protein Diet
Guillain Barre Syndrome,Vitamin B12-Rich Foods
Guillain Barre Syndrome,Omega-3 Fatty Acids
Guillain Barre Syndrome,Leafy Greens
Guillain Barre Syndrome,Hydration Therapy
HIV/AIDS,Immune-Boosting Diet
HIV/AIDS,High-Protein Meals
HIV/AIDS,Vitamin C & Zinc
HIV/AIDS,Antioxidant Foods
HIV/AIDS,Hydration Therapy
Hantavirus,Immune-Boosting Diet
Hantavirus,Hydration Therapy
Hantavirus,Probiotics
Hantavirus,Vitamin C & Zinc
Hantavirus,High-Calorie Diet
Heart attack,Heart-Healthy Diet
Heart attack,Omega-3 Fatty Acids
Heart attack,Low-Sodium Meals
Heart attack,Leafy Greens
Heart attack,Whole Grains
Hemochromatosis,Low-Iron Diet
Hemochromatosis,High-Calcium Foods
Hemochromatosis,Whole Grains
Hemochromatosis,Leafy Greens
Hemochromatosis,Hydration Therapy
Hemophilia,Vitamin K & Iron-Rich Foods
Hemophilia,Hydrating Fluids
Hemophilia,Whole Grains
Hemophilia,Leafy Greens
Hemophilia,Omega-3 Fatty Acids
Hendra Virus,Immune-Boosting Diet
Hendra Virus,Vitamin C & Zinc
Hendra Virus,Probiotic Yogurt
Hendra Virus,Hydration Therapy
Hendra Virus,High-Protein Foods
Hepatitis A,Liver Detox Diet
Hepatitis A,Hydration Therapy
Hepatitis A,Leafy Greens
Hepatitis A,Probiotics
Hepatitis A,Vitamin C & B12
Hepatitis B,Low-Fat Diet
Hepatitis B,High-Fiber Foods
Hepatitis B,Omega-3 Fatty Acids
Hepatitis B,Hydrating Fluids
Hepatitis B,Whole Grains
Hepatitis C,Liver Detox Diet
Hepatitis C,Healthy Fats
Hepatitis C,Lean Proteins
Hepatitis C,Leafy Greens
Hepatitis C,Omega-3 Fatty Acids
Hepatitis D,Low-Fat Diet
Hepatitis D,Vitamin D-Rich Foods
Hepatitis D,Hydration Therapy
