Disease,Description
AIDS,"AIDS is Acquired Immunodeficiency Syndrome, the advanced stage of HIV infection, leading to immune system failure."
ALS (Amyotrophic Lateral Sclerosis),ALS (Amyotrophic Lateral Sclerosis) is a  condition affecting nerve cells leading to muscle weakness and paralysis
Acne,"Acne is a skin condition caused by clogged hair follicles, leading to pimples, blackheads, and inflammation."
Achalasia,"Achalasia is a rare disorder in which the esophagus loses its ability to move food into the stomach, causing swallowing difficulties."
Acute Bronchitis,"Acute Bronchitis is an inflammation of the bronchial tubes, leading to coughing and mucus production."
Addison's Disease,Addison's Disease is a rare disorder where the adrenal glands do not produce enough hormones.
Alcoholic hepatitis,Alcoholic Hepatitis is liver inflammation caused by excessive alcohol consumption.
Allergy,Allergy is an immune system reaction to a foreign substance.
Alzheimer's Disease,Alzheimer's Disease is a progressive neurodegenerative disorder causing memory loss and cognitive decline.
Amebiasis,Amebiasis is an intestinal illness caused by the parasite Entamoeba histolytica.
Amyotrophic Lateral Sclerosis (ALS),Amyotrophic Lateral Sclerosis (ALS) is a neurodegenerative disease affecting nerve cells in the brain and spinal cord.
Anemia,Anemia is a condition where the blood lacks enough healthy red blood cells or hemoglobin.
Aneurysm,Aneurysm is a  weakened blood vessel that may rupture leading to internal bleeding
Anthrax,Anthrax is a  bacterial infection that can be fatal affecting the skin lungs or digestive system
Aplastic Anemia,Aplastic Anemia is a condition where the bone marrow fails to produce sufficient blood cells.
Appendicitis,"Appendicitis is inflammation of the appendix, causing severe abdominal pain."
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
Aspergillosis,"Aspergillosis is an infection caused by Aspergillus fungi, affecting the respiratory system."
Asthma,Asthma is a  chronic lung condition causing airway narrowing wheezing and shortness of breath
Arrhythmia,"Arrhythmia is a condition in which the heart beats irregularlyâ€”too fast, too slow, or with an abnormal rhythm."
Avian Influenza ,Avian Influenza (Bird Flu) is a  highly contagious viral infection that spreads from birds to humans leading to severe respiratory illness
Babesiosis,Babesiosis is a  tick-borne parasitic infection that attacks red blood cells leading to fever chills and anemia
Bacterial Meningitis,Bacterial Meningitis is an infection of the protective membranes covering the brain and spinal cord.
Bartonellosis,"Bartonellosis is a bacterial infection caused by Bartonella species, often transmitted through insect bites."
Barrett Esophagus,"Barrett’s Esophagus is a condition where the lining of the esophagus changes due to chronic acid reflux, increasing the risk of esophageal cancer."
Bell's Palsy,"Bell's Palsy is sudden, temporary weakness or paralysis of the facial muscles."
Benign Paroxysmal Positional Vertigo (BPPV),"Benign Paroxysmal Positional Vertigo (BPPV) is a disorder of the inner ear causing brief episodes of dizziness. It occurs when calcium crystals in the inner ear become dislodged, affecting balance."
Bipolar Disorder,Bipolar Disorder is a mental health condition causing extreme mood swings.
Bladder Cancer,Bladder Cancer is a  type of cancer affecting the bladders lining
Blastomycosis,"Blastomycosis is a fungal infection caused by inhaling Blastomyces spores, affecting the lungs and skin."
Brain Tumor,Brain Tumor is an  abnormal growth in the brain that can be benign or malignant
Breast Cancer,Breast Cancer is a  cancer that forms in breast tissue common in women but can occur in men
Bronchial Asthma,"Bronchial Asthma is a respiratory condition marked by spasms in the bronchi, causing difficulty in breathing."
Bronchiectasis,"Bronchiectasis is a chronic condition where the airways become damaged and widened, leading to mucus buildup and infections."
Bronchitis,Bronchitis is Inflammation of the bronchial tubes leading to persistent coughing and mucus production
Brucellosis,Brucellosis is a bacterial infection transmitted from animals to humans.
COVID-19,"COVID-19 is a respiratory illness caused by the SARS-CoV-2 virus, leading to fever, cough, and breathing difficulties."
Campylobacteriosis,Campylobacteriosis is a bacterial infection causing diarrhea and gastrointestinal distress.
Cataracts,"Cataracts is clouding of the eye's lens, leading to decreased vision."
Celiac Disease,Celiac Disease is an  autoimmune reaction to gluten that damages the small intestine
Cervical Cancer,Cervical Cancer is a  cancer affecting the cervix commonly linked to HPV infection
Cervical spondylosis,Cervical Spondylosis is age-related wear and tear affecting the spinal disks in the neck.
Chikungunya,"Chikungunya is a viral disease transmitted by mosquitoes, causing fever and severe joint pain."
Chicken pox,"Chicken Pox is a contagious viral infection causing itchy, blister-like rashes and fever."
Chlamydia,Chlamydia is a  common bacterial sexually transmitted infection that may cause infertility if untreated
Cholera,Cholera is a  bacterial infection causing severe diarrhea and dehydration linked to contaminated water
Chronic Fatigue Syndrome,Chronic Fatigue Syndrome is a complex disorder characterized by extreme fatigue without a known cause.
Chronic Kidney Disease,Chronic Kidney Disease is a condition involving the gradual loss of kidney function over time.
Chronic Sinusitis,Chronic Sinusitis is Long-term inflammation of the sinuses causing congestion and pain
Chronic cholestasis,Chronic Cholestasis is a condition where bile flow from the liver is reduced or blocked.
Coccidioidomycosis,"Coccidioidomycosis is a fungal infection, also known as Valley fever, caused by inhaling Coccidioides spores."
Colon Cancer,"Colon Cancer is a malignancy of the colon or rectum, often presenting with changes in bowel habits, blood in stool, and abdominal discomfort."
Common Cold,"Common Cold is a viral infection affecting the nose and throat, causing sneezing, congestion, and a runny nose."
Crohn's Disease,Crohn's Disease is a chronic inflammatory condition of the digestive tract.
Cryptococcosis,"Cryptococcosis is a fungal infection, often affecting the lungs or central nervous system."
Cushing's Syndrome,"Cushing's Syndrome is a condition caused by excess cortisol, leading to weight gain and high blood pressure."
Cystic Fibrosis,Cystic Fibrosis is a  genetic disorder affecting the lungs and digestive system due to thick mucus buildup
Deep Vein Thrombosis (DVT),"DVT occurs when a blood clot forms in a deep vein, usually in the legs, and can lead to serious complications if it travels to the lungs."
Dengue Fever,"Dengue is a mosquito-borne viral infection causing fever, rash, and severe body pain."
Dermatitis,"Dermatitis is inflammation of the skin, causing redness, itching, and irritation."
Diabetes,Diabetes is a metabolic disease resulting in high blood sugar levels over a prolonged period.
Dimorphic hemmorhoids(piles),Dimorphic Hemorrhoids (Piles) is a condition where swollen blood vessels develop in the rectum or anus.
Diphtheria,Diphtheria is a  bacterial infection causing a thick covering in the throat leading to breathing difficulties
Diverticulitis,Diverticulitis is Inflammation of small pouches in the colon causing pain and digestive issues
Drug Reaction,Drug Reaction is an adverse response of the body to medication.
E. Coli Infection,"E. Coli Infection is a bacterial illness caused by Escherichia coli, leading to diarrhea and abdominal cramps."
Ebola ,Ebola Virus Disease is a  deadly viral hemorrhagic fever causing severe bleeding organ failure and shock
Eczema,Eczema is a  chronic skin disorder that causes red dry and itchy patches on the skin
Ehlers-Danlos Syndrome,"Ehlers-Danlos Syndrome is a group of disorders affecting connective tissues, leading to hypermobility and skin elasticity."
Endometriosis,Endometriosis is a  painful condition where tissue similar to the uterus lining grows outside the uterus
Epilepsy,Epilepsy is a  neurological disorder with recurrent seizures due to abnormal brain activity
Erectile Dysfunction,Erectile Dysfunction is The inability to achieve or maintain an erection
Esophageal Cancer,Esophageal Cancer is a  cancer that affects the esophagus often linked to acid reflux or smoking
Fatty Liver Disease,Fatty Liver Disease is Accumulation of fat in the liver linked to obesity and alcohol use
Fibromyalgia,Fibromyalgia is a  condition causing widespread pain fatigue and sleep disturbances
Filariasis,"Filariasis is a parasitic disease caused by thread-like filarial worms, leading to severe swelling."
Fungal Infection,"Fungal Infection is an invasion of tissues by fungi, leading to various health issues."
GERD,GERD is a  digestive disorder where stomach acid flows back into the esophagus causing heartburn
Gallbladder Disease,"Gallbladder Disease is a range of conditions affecting the gallbladder, such as gallstones or inflammation."
Gallstones,Gallstones are hardened deposits of digestive fluid in the gallbladder that can cause pain and digestive issues.
Gastric Cancer,Gastric Cancer is a malignant tumor forming in the stomach lining.
Gastritis,Gastritis is Inflammation of the stomach lining causing pain nausea and digestive discomfort
Gastroenteritis,"Gastroenteritis is inflammation of the stomach and intestines, causing diarrhea and vomiting."
Giardiasis,Giardiasis is an intestinal infection caused by the Giardia parasite.
Glaucoma,"Glaucoma is a group of eye conditions leading to optic nerve damage, often associated with increased eye pressure."
Gonorrhea,Gonorrhea is a  bacterial sexually transmitted infection that can affect the genitals throat and rectum
Gout,Gout is a  form of arthritis caused by uric acid buildup in the joints
Graves' Disease,"Graves' Disease is an autoimmune disorder causing hyperthyroidism, leading to weight loss and rapid heartbeat."
Guillain Barre Syndrome,Guillain-BarrÃ© Syndrome is an  immune disorder that attacks the nerves causing weakness and paralysis
HIV/AIDS,"HIV/AIDS is a viral infection that weakens the immune system, making the body vulnerable to infections."
Hantavirus,"Hantavirus is a group of viruses transmitted by rodents, causing severe respiratory or hemorrhagic fever syndromes."
Heart attack,Heart Attack is a  blockage in the hearts blood supply causing chest pain and potential heart damage
Hemochromatosis,"Hemochromatosis is a disorder causing excessive iron accumulation in the body, leading to organ damage."
Hemophilia,Hemophilia is a  bleeding disorder where the blood doesnt clot properly
Hendra Virus,"Hendra Virus is a zoonotic virus transmitted from horses to humans, causing severe respiratory illness."
Hepatitis A,Hepatitis A is a  liver infection caused by the hepatitis A virus often spread through contaminated food or water
Hepatitis B,Hepatitis B is a  viral infection that causes liver inflammation jaundice and chronic complications
Hepatitis C,Hepatitis C is a  bloodborne viral infection leading to chronic liver disease and cirrhosis
Hepatitis D,"Hepatitis D is a liver infection caused by the hepatitis D virus, which only occurs in those infected with hepatitis B."
Hepatitis E,"Hepatitis E is a liver infection caused by the hepatitis E virus, primarily spread through contaminated water."
Herpes,"Herpes is a viral infection caused by herpes simplex virus, leading to blisters and sores."
Histoplasmosis,"Histoplasmosis is a fungal infection caused by inhaling spores of Histoplasma fungi, affecting the lungs."
Hodgkin's Lymphoma,Hodgkin's Lymphoma is a type of cancer affecting the lymphatic system.
Hookworm Infection,Hookworm Infection is a parasitic infection caused by hookworms that affect the intestines.
Huntington's Disease,Huntington's Disease is a genetic disorder causing the progressive breakdown of nerve cells in the brain.
Hyperglycemia,"Hyperglycemia is a condition where blood sugar levels are higher than normal, often due to diabetes."
Hypertension,Hypertension is High blood pressure that increases the risk of heart disease and stroke
Hyperthyroidism,Hyperthyroidism is an  overactive thyroid causing weight loss and increased heart rate
Impetigo,"Impetigo is a highly contagious bacterial skin infection, causing red sores and blisters."
Influenza,"Influenza is a contagious respiratory illness caused by influenza viruses, leading to symptoms like fever, cough, and body aches."
Insomnia,Insomnia is a sleep disorder causing difficulty in falling or staying asleep.
Irritable Bowel Syndrome (IBS),Irritable Bowel Syndrome (IBS) is a  disorder affecting the digestive system causing bloating cramping and diarrhea or constipation
Jaundice,Jaundice is a yellowing of the skin and eyes due to excess bilirubin in the blood.
Kidney Stones,Kidney Stones is Hard mineral deposits that form in the kidneys leading to severe pain during urination
Legionnaires' Disease,Legionnaires' Disease is a severe form of pneumonia caused by Legionella bacteria.
Leptospirosis,Leptospirosis is a  bacterial infection spread through contaminated water affecting the liver and kidneys
Leukemia,Leukemia is a  type of blood cancer affecting white blood cells
Lice Infestation,"Lice Infestation is a condition where tiny parasitic insects infest the scalp, body, or pubic area, causing itching and irritation."
Liver Cirrhosis,Liver Cirrhosis is Chronic liver damage leading to scarring and liver failure
Loiasis,"Loiasis is a parasitic infection caused by the Loa loa worm, transmitted by deer flies."
Lung Cancer,Lung Cancer is a  deadly cancer often caused by smoking or environmental exposure
Lupus,Lupus is a  chronic autoimmune disease affecting multiple organs
Lyme Disease,Lyme Disease is a  bacterial infection transmitted through tick bites causing fever and joint pain
Lymphoma,Lymphoma is a  cancer of the lymphatic system that affects immune function
MERS,"MERS is Middle East Respiratory Syndrome, a viral respiratory illness caused by a coronavirus."
Macular Degeneration,Macular Degeneration is an eye disorder causing vision loss in the center of the visual field.
Malaria,Malaria is a  mosquito-borne disease causing fever chills and severe flu-like symptoms
Marburg Virus ,Marburg Virus Disease is a  severe viral hemorrhagic fever similar to Ebola causing organ failure and high mortality
Measles,Measles is a  highly contagious viral infection causing fever cough and a red rash all over the body
Melanoma,Melanoma is The most dangerous type of skin cancer caused by uncontrolled growth of pigment-producing cells
Metabolic Syndrome,"Metabolic Syndrome is a cluster of conditions that increase the risk of heart disease, stroke, and diabetes."
Migraine,Migraine is a  severe headache disorder with throbbing pain often accompanied by nausea and sensitivity to light and sound
Multiple Sclerosis,Multiple Sclerosis is an  autoimmune disorder where the immune system attacks the nervous system
Mumps,Mumps is a  viral infection causing painful swelling of the salivary glands
Myasthenia Gravis,Myasthenia Gravis is a  neuromuscular disorder causing muscle weakness and fatigue
Mycoplasma Pneumonia,Mycoplasma Pneumonia is a bacterial infection causing atypical pneumonia with prolonged cough and mild symptoms.
Narcolepsy,Narcolepsy is a neurological disorder causing excessive daytime sleepiness and sudden sleep attacks.
Nipah Virus,Nipah Virus is a zoonotic virus causing severe respiratory and neurological symptoms.
Norovirus,Norovirus is a highly contagious virus causing vomiting and diarrhea.
Obesity,"Obesity is a condition of excessive body fat, increasing the risk of various diseases."
Onchocerciasis,"Onchocerciasis is a parasitic infection, also called river blindness, caused by Onchocerca volvulus."
Osteoarthristis,Osteoarthristis is a degenerative joint disease causing cartilage breakdown.
Osteoporosis,Osteoporosis is a condition causing bones to become weak and brittle.
Otitis Media,Otitis Media is an infection or inflammation of the middle ear.
Ovarian Cancer,Ovarian Cancer is a  cancer that begins in the ovaries and is often diagnosed at an advanced stage
Pancreatic Cancer,Pancreatic Cancer is a  highly aggressive cancer affecting the pancreas
Paralysis (brain hemorrhage),Paralysis (Brain Hemorrhage) is a loss of muscle function due to bleeding in the brain.
Parkinson's Disease,"Parkinson's Disease is a neurodegenerative disorder affecting movement, causing tremors and stiffness."
Pelvic Inflammatory Disease,Pelvic Inflammatory Disease is an infection of the female reproductive organs.
Peptic ulcer disease,Peptic Ulcer Disease is a condition where sores develop on the inner lining of the stomach or small intestine.
Peripheral Neuropathy,"Peripheral Neuropathy is nerve damage causing weakness, numbness, and pain, usually in the hands and feet."
Plague,Plague is a severe bacterial infection caused by Yersinia pestis.
Pneumonia,Pneumonia is a  lung infection causing inflammation and fluid buildup in the air sacs
Polycystic Ovary Syndrome,Polycystic Ovary Syndrome is a hormonal disorder causing enlarged ovaries with small cysts.
Pontiac Fever,Pontiac Fever is a mild flu-like illness caused by Legionella bacteria.
Prostate Cancer,Prostate Cancer is a  common cancer affecting the prostate gland in men
Psittacosis,"Psittacosis is a bacterial infection transmitted to humans from birds, especially parrots."
Psoriasis,Psoriasis is an  autoimmune condition causing red scaly patches of skin due to rapid skin cell turnover
Q Fever,"Q Fever is a bacterial infection caused by Coxiella burnetii, transmitted from animals to humans."
Rabies,Rabies is a  fatal viral infection spread through animal bites affecting the nervous system
Raynaud Disease,"Raynaud’s disease causes blood vessels to narrow excessively in response to cold or stress, reducing blood flow to extremities."
Relapsing Fever,Relapsing Fever is a bacterial infection characterized by recurring episodes of fever.
Restless Legs Syndrome,"Restless Legs Syndrome is a condition causing an uncontrollable urge to move the legs, usually due to discomfort."
Retinopathy,"Retinopathy is damage to the retina, often caused by diabetes, leading to vision impairment."
Rheumatoid Arthritis,Rheumatoid Arthritis is an  autoimmune disease causing joint inflammation and pain
Rocky Mountain Spotted Fever,Rocky Mountain Spotted Fever is a  bacterial infection transmitted by ticks causing fever rash and potential organ damage
Rotavirus,"Rotavirus is a highly contagious virus causing severe diarrhea, mainly in infants and young children."
Roundworm Infection,"Roundworm Infection is a parasitic disease caused by Ascaris lumbricoides, affecting the intestines."
Rubella,Rubella is Also known as German measles a viral infection causing mild fever and rash
SARS,"SARS is Severe Acute Respiratory Syndrome, a viral respiratory illness caused by a coronavirus."
Salmonella Infection,"Salmonella Infection is a bacterial disease affecting the intestinal tract, often from contaminated food."
Sarcoidosis,"Sarcoidosis is an inflammatory disease that causes the formation of granulomas in organs, especially the lungs."
Scabies,Scabies is a  contagious skin condition caused by tiny mites burrowing into the skin leading to intense itching
Schistosomiasis,"Schistosomiasis is a parasitic disease caused by Schistosoma worms, affecting the urinary or intestinal tract."
Shigellosis,"Shigellosis is a bacterial infection caused by Shigella species, leading to diarrhea and stomach cramps."
Sickle Cell Disease,Sickle Cell Disease is a  genetic blood disorder causing misshapen red blood cells
Sinusitis,"Sinusitis is inflammation of the sinuses, leading to congestion, pain, and pressure in the face."
Sleep Apnea,"Sleep Apnea is a sleep disorder where breathing repeatedly stops and starts, leading to poor sleep quality."
Stroke,"A stroke occurs when the blood supply to part of the brain is interrupted, leading to brain cell damage."
Syphilis,Syphilis is a  sexually transmitted bacterial infection that progresses through multiple stages if untreated
Tapeworm Infection,Tapeworm Infection is a parasitic infection caused by ingesting tapeworm larvae or eggs.
Tetanus,Tetanus is a  bacterial infection causing muscle stiffness and spasms often contracted through wounds
Thalassemia,Thalassemia is a  genetic condition causing reduced hemoglobin and anemia
Tinnitus,Tinnitus is the perception of noise or ringing in the ears without an external source.
Toxoplasmosis,Toxoplasmosis is a  parasitic infection often contracted from contaminated food or cat feces dangerous for pregnant women and immunocompromised individuals
Trichinosis,Trichinosis is a parasitic disease caused by eating raw or undercooked meat infected with Trichinella larvae.
Tuberculosis,Tuberculosis is a  bacterial infection affecting the lungs causing chronic cough fever and weight loss
Tularemia,"Tularemia is a bacterial infection caused by Francisella tularensis, transmitted through animals or insect bites."
Typhoid,"Typhoid is a bacterial infection caused by Salmonella typhi, leading to fever, weakness, and abdominal pain."
Ulcerative Colitis,Ulcerative Colitis is a  condition causing inflammation and ulcers in the colon and rectum
Urinary tract infection,"Urinary Tract Infection is an infection in any part of the urinary system, commonly the bladder and urethra."
Varicose veins,"Varicose Veins is a condition where enlarged, twisted veins, often appearing in the legs, cause discomfort."
Vertigo,"Vertigo is a sensation of spinning or dizziness, often due to inner ear problems."
Whooping Cough,Whooping Cough is a  highly contagious respiratory infection causing severe coughing fits
Wilson Disease,"Wilson’s Disease is a genetic disorder where the body accumulates excess copper, leading to liver and neurological problems."
Yellow Fever,Yellow Fever is a  viral infection spread by mosquitoes causing jaundice and flu-like symptoms
Yersiniosis,Yersiniosis is a bacterial infection causing fever and gastrointestinal symptoms.
Zika Virus,Zika Virus is a  mosquito-borne virus that can cause birth defects if contracted during pregnancy
